alpha,beta,ef,refine_runs,time_v2,time_v3,speedup_raw,speedup_drift_corrected,recall_v2,recall_v3,qps_v2,qps_v3
0.6,8,50,1,0.063260,0.060612,1.0437,1.0372,0.920888,0.921490,110338.29,115158.71
0.6,8,100,1,0.074075,0.071512,1.0358,1.0294,0.931375,0.931218,94228.82,97606.00
0.6,8,200,1,0.125635,0.123126,1.0204,1.0140,0.952135,0.953281,55557.77,56689.89
0.6,8,400,1,0.221251,0.218495,1.0126,1.0063,0.963711,0.963725,31547.88,31945.81
0.6,8,800,1,0.405273,0.402844,1.0060,0.9998,0.969842,0.970287,17222.96,17326.81
0.6,8,1600,1,0.779297,0.774001,1.0068,1.0006,0.974355,0.974742,8956.79,9018.08
0.6,8,3200,1,1.527922,1.523409,1.0030,0.9967,0.978625,0.978610,4568.30,4581.83
0.7,1,10,0,0.013810,0.013951,0.9899,0.9837,0.634026,0.635129,505430.85,500322.56
0.7,1,20,0,0.021312,0.021344,0.9985,0.9923,0.704312,0.704083,327515.02,327023.99
0.7,1,50,0,0.041279,0.040996,1.0069,1.0006,0.765688,0.765215,169093.24,170260.51
0.7,1,100,0,0.070607,0.069757,1.0122,1.0059,0.791261,0.790645,98857.05,100061.64
0.7,1,200,0,0.123313,0.122062,1.0102,1.0039,0.808696,0.809699,56603.93,57184.05
0.7,1,400,0,0.217911,0.213695,1.0197,1.0134,0.818840,0.819126,32031.43,32663.38
0.7,1,800,0,0.396495,0.388893,1.0195,1.0132,0.823395,0.823567,17604.26,17948.38
0.7,1,1600,0,0.776184,0.758454,1.0234,1.0170,0.826433,0.826461,8992.71,9202.93
0.7,1,3200,0,1.532369,1.501227,1.0207,1.0144,0.828954,0.828782,4555.04,4649.53
0.7,2,10,1,0.023334,0.022242,1.0491,1.0425,0.797937,0.800057,299134.31,313820.70
0.7,2,20,1,0.022887,0.021857,1.0471,1.0406,0.797937,0.800057,304976.62,319348.49
0.7,2,50,1,0.042711,0.041853,1.0205,1.0141,0.874842,0.877321,163423.94,166774.19
0.7,2,100,1,0.071901,0.070366,1.0218,1.0154,0.905430,0.906605,97077.93,99195.63
0.7,2,200,1,0.123516,0.120672,1.0236,1.0172,0.928467,0.928410,56510.90,57842.75
0.7,2,400,1,0.215905,0.208777,1.0341,1.0277,0.940229,0.939499,32329.03,33432.80
0.7,2,800,1,0.391688,0.381343,1.0271,1.0207,0.945530,0.945372,17820.31,18303.73
0.7,2,1600,1,0.766753,0.750994,1.0210,1.0146,0.949427,0.949427,9103.32,9294.35
0.7,2,3200,1,1.518848,1.499280,1.0131,1.0067,0.952650,0.952507,4595.59,4655.57
0.7,3,10,1,0.030827,0.029610,1.0411,1.0346,0.857994,0.857178,226424.89,235731.17
0.7,3,20,1,0.030534,0.029261,1.0435,1.0370,0.857994,0.857178,228597.63,238542.77
0.7,3,50,1,0.043162,0.041985,1.0280,1.0216,0.894527,0.893868,161716.32,166249.85
0.7,3,100,1,0.072417,0.070713,1.0241,1.0177,0.926619,0.926261,96386.21,98708.87
0.7,3,200,1,0.124196,0.122343,1.0151,1.0088,0.948395,0.947908,56201.49,57052.71
0.7,3,400,1,0.216445,0.215792,1.0030,0.9968,0.960616,0.960415,32248.38,32345.96
0.7,3,800,1,0.393038,0.390250,1.0071,1.0009,0.965931,0.965831,17759.10,17885.97
0.7,3,1600,1,0.767226,0.761715,1.0072,1.0009,0.969871,0.969785,9097.71,9163.53
0.7,3,3200,1,1.520365,1.509329,1.0073,1.0010,0.973266,0.973238,4591.00,4624.57
0.7,4,10,1,0.037917,0.036312,1.0442,1.0377,0.885903,0.884556,184086.29,192222.96
0.7,4,20,1,0.038009,0.035994,1.0560,1.0494,0.885903,0.884556,183640.72,193921.21
0.7,4,50,1,0.044180,0.042033,1.0511,1.0445,0.900745,0.899126,157990.04,166060.00
0.7,4,100,1,0.072594,0.070071,1.0360,1.0295,0.931991,0.931189,96151.20,99613.25
0.7,4,200,1,0.124129,0.120935,1.0264,1.0200,0.953309,0.954742,56231.82,57716.96
0.7,4,400,1,0.217486,0.210531,1.0330,1.0266,0.966877,0.967192,32094.02,33154.26
0.7,4,800,1,0.395735,0.385254,1.0272,1.0208,0.972479,0.972751,17638.07,18117.92
0.7,4,1600,1,0.773511,0.752780,1.0275,1.0211,0.976676,0.977092,9023.79,9272.30
0.7,4,3200,1,1.525367,1.505134,1.0134,1.0071,0.980029,0.980344,4575.95,4637.46
0.7,5,10,1,0.044298,0.042875,1.0332,1.0267,0.901347,0.902493,157569.19,162798.83
0.7,5,20,1,0.044520,0.042694,1.0428,1.0363,0.901347,0.902493,156783.47,163489.01
0.7,5,50,1,0.044395,0.042391,1.0473,1.0407,0.901347,0.902493,157224.91,164657.59
0.7,5,100,1,0.072989,0.071093,1.0267,1.0203,0.934914,0.934814,95630.85,98181.26
0.7,5,200,1,0.124222,0.123079,1.0093,1.0030,0.957564,0.957564,56189.72,56711.54
0.7,5,400,1,0.214662,0.216492,0.9915,0.9854,0.970000,0.970115,32516.23,32241.38
0.7,5,800,1,0.390334,0.391034,0.9982,0.9920,0.975616,0.975559,17882.12,17850.11
0.7,5,1600,1,0.764944,0.760479,1.0059,0.9996,0.979785,0.979771,9124.85,9178.43
0.7,5,3200,1,1.518468,1.511796,1.0044,0.9981,0.983281,0.983152,4596.74,4617.03
0.7,6,10,1,0.051270,0.049244,1.0411,1.0346,0.914585,0.913553,136141.99,141743.16
0.7,6,20,1,0.051551,0.048885,1.0545,1.0480,0.914585,0.913553,135399.90,142784.09
0.7,6,50,1,0.051386,0.048824,1.0525,1.0459,0.914585,0.913553,135834.66,142962.48
0.7,6,100,1,0.073810,0.072051,1.0244,1.0180,0.935788,0.936132,94567.13,96875.82
0.7,6,200,1,0.126050,0.123248,1.0227,1.0164,0.958582,0.959384,55374.85,56633.78
0.7,6,400,1,0.217079,0.217527,0.9979,0.9917,0.971705,0.971705,32154.19,32087.97
0.7,6,800,1,0.389609,0.391100,0.9962,0.9900,0.977407,0.977192,17915.40,17847.10
0.7,6,1600,1,0.763042,0.767890,0.9937,0.9875,0.981648,0.981519,9147.60,9089.84
0.7,6,3200,1,1.515336,1.515457,0.9999,0.9937,0.985100,0.985301,4606.24,4605.87
0.7,8,10,1,0.064680,0.060947,1.0612,1.0546,0.928711,0.928725,107915.89,114525.74
0.7,8,20,1,0.064569,0.061037,1.0579,1.0513,0.928711,0.928725,108101.41,114356.87
0.7,8,50,1,0.064699,0.060760,1.0648,1.0582,0.928711,0.928725,107884.20,114878.21
0.7,8,100,1,0.075221,0.072282,1.0407,1.0342,0.937034,0.937378,92793.24,96566.23
0.7,8,200,1,0.128250,0.124281,1.0319,1.0255,0.960559,0.959986,54424.95,56163.05
0.7,8,400,1,0.221633,0.216246,1.0249,1.0185,0.973338,0.973052,31493.51,32278.05
0.7,8,800,1,0.397672,0.394160,1.0089,1.0026,0.978983,0.978596,17552.15,17708.54
0.7,8,1600,1,0.771005,0.770628,1.0005,0.9942,0.983410,0.983009,9053.12,9057.55
0.7,8,3200,1,1.521669,1.514379,1.0048,0.9985,0.986948,0.986719,4587.07,4609.15
0.75,1,10,0,0.014349,0.014389,0.9972,0.9910,0.651046,0.648911,486445.05,485092.78
0.75,1,20,0,0.022422,0.022403,1.0008,0.9946,0.727436,0.725874,311301.40,311565.42
0.75,1,50,0,0.043864,0.043328,1.0124,1.0061,0.791748,0.791862,159128.21,161096.75
0.75,1,100,0,0.074552,0.073801,1.0102,1.0039,0.821734,0.822464,93625.93,94578.66
0.75,1,200,0,0.130866,0.127308,1.0279,1.0215,0.837350,0.837837,53337.00,54827.66
0.75,1,400,0,0.229541,0.214405,1.0706,1.0639,0.848209,0.848152,30408.51,32555.21
0.75,1,800,0,0.413609,0.392681,1.0533,1.0467,0.852751,0.853066,16875.84,17775.24
0.75,1,1600,0,0.811537,0.776973,1.0445,1.0380,0.856390,0.856304,8600.96,8983.58
0.75,1,3200,0,1.610402,1.551885,1.0377,1.0312,0.858754,0.858825,4334.32,4497.76
0.75,2,10,1,0.024400,0.023342,1.0453,1.0388,0.811447,0.811189,286065.57,299031.79
0.75,2,20,1,0.023887,0.022964,1.0402,1.0337,0.811447,0.811189,292209.15,303954.01
0.75,2,50,1,0.045085,0.043403,1.0388,1.0323,0.888209,0.888825,154818.68,160818.38
0.75,2,100,1,0.076043,0.074320,1.0232,1.0168,0.924713,0.924685,91790.17,93918.19
0.75,2,200,1,0.132684,0.126437,1.0494,1.0429,0.943338,0.943109,52606.19,55205.36
0.75,2,400,1,0.223762,0.216195,1.0350,1.0285,0.955244,0.955458,31193.86,32285.67
0.75,2,800,1,0.405630,0.391190,1.0369,1.0304,0.960845,0.961160,17207.80,17842.99
0.75,2,1600,1,0.795263,0.770081,1.0327,1.0263,0.965530,0.965587,8776.97,9063.98
0.75,2,3200,1,1.581544,1.546636,1.0226,1.0162,0.969026,0.968926,4413.41,4513.02
0.75,3,10,1,0.032157,0.031407,1.0239,1.0175,0.858438,0.861905,217060.05,222243.45
0.75,3,20,1,0.031842,0.030889,1.0309,1.0244,0.858438,0.861905,219207.34,225970.41
0.75,3,50,1,0.045029,0.044763,1.0059,0.9997,0.897837,0.900702,155011.21,155932.35
0.75,3,100,1,0.076587,0.075471,1.0148,1.0085,0.936203,0.937822,91138.18,92485.86
0.75,3,200,1,0.130431,0.129192,1.0096,1.0033,0.955244,0.955645,53514.89,54028.11
0.75,3,400,1,0.224488,0.220318,1.0189,1.0126,0.967980,0.967607,31092.98,31681.48
0.75,3,800,1,0.407227,0.397316,1.0249,1.0185,0.973997,0.973854,17140.32,17567.88
0.75,3,1600,1,0.798576,0.783390,1.0194,1.0130,0.978653,0.978338,8740.56,8909.99
0.75,3,3200,1,1.582208,1.561312,1.0134,1.0071,0.981991,0.982006,4411.56,4470.60
0.75,4,10,1,0.039862,0.037972,1.0498,1.0432,0.885444,0.883467,175104.11,183819.66
0.75,4,20,1,0.039807,0.038012,1.0472,1.0407,0.885444,0.883467,175346.04,183626.22
0.75,4,50,1,0.046201,0.045139,1.0235,1.0171,0.902235,0.902708,151078.98,154633.47
0.75,4,100,1,0.077809,0.075437,1.0314,1.0250,0.939613,0.940444,89706.85,92527.54
0.75,4,200,1,0.130092,0.128970,1.0087,1.0024,0.958868,0.958754,53654.34,54121.11
0.75,4,400,1,0.221842,0.219157,1.0123,1.0059,0.971447,0.971146,31463.83,31849.31
0.75,4,800,1,0.401255,0.397481,1.0095,1.0032,0.977708,0.977564,17395.42,17560.59
0.75,4,1600,1,0.796337,0.787997,1.0106,1.0043,0.982178,0.982063,8765.13,8857.90
0.75,4,3200,1,1.579843,1.565720,1.0090,1.0027,0.985659,0.985559,4418.16,4458.01
0.75,5,10,1,0.047164,0.044786,1.0531,1.0465,0.904140,0.904298,147994.23,155852.28
0.75,5,20,1,0.046869,0.044963,1.0424,1.0359,0.904140,0.904298,148925.73,155238.75
0.75,5,50,1,0.046760,0.044784,1.0441,1.0376,0.904140,0.904298,149272.88,155859.24
0.75,5,100,1,0.078255,0.074553,1.0497,1.0431,0.941619,0.940774,89195.58,93624.67
0.75,5,200,1,0.133572,0.128725,1.0377,1.0312,0.960630,0.960430,52256.46,54224.12
0.75,5,400,1,0.229279,0.216838,1.0574,1.0508,0.973181,0.972980,30443.26,32189.93
0.75,5,800,1,0.411393,0.396069,1.0387,1.0322,0.978997,0.979112,16966.74,17623.19
0.75,5,1600,1,0.809974,0.783543,1.0337,1.0273,0.983424,0.983424,8617.56,8908.25
0.75,5,3200,1,1.599488,1.552044,1.0306,1.0241,0.987020,0.987321,4363.90,4497.30
0.75,6,10,1,0.054863,0.051439,1.0666,1.0599,0.915974,0.916218,127226.00,135694.71
0.75,6,20,1,0.054780,0.051475,1.0642,1.0576,0.915974,0.916218,127418.77,135599.81
0.75,6,50,1,0.054879,0.051227,1.0713,1.0646,0.915974,0.916218,127188.91,136256.27
0.75,6,100,1,0.079554,0.074963,1.0612,1.0546,0.941547,0.941619,87739.15,93112.60
0.75,6,200,1,0.135298,0.129795,1.0424,1.0359,0.960387,0.960501,51589.82,53777.11
0.75,6,400,1,0.228874,0.218077,1.0495,1.0430,0.973811,0.973524,30497.13,32007.04
0.75,6,800,1,0.412906,0.393215,1.0501,1.0435,0.979613,0.979499,16904.57,17751.10
0.75,6,1600,1,0.808149,0.778158,1.0385,1.0321,0.984169,0.984284,8637.02,8969.90
0.75,6,3200,1,1.593049,1.545256,1.0309,1.0245,0.987708,0.987937,4381.54,4517.05
0.75,8,10,1,0.068207,0.064728,1.0537,1.0472,0.932708,0.933668,102335.54,107835.87
0.75,8,20,1,0.068294,0.065038,1.0501,1.0435,0.932708,0.933668,102205.17,107321.87
0.75,8,50,1,0.068116,0.065037,1.0473,1.0408,0.932708,0.933668,102472.25,107323.52
0.75,8,100,1,0.079520,0.076698,1.0368,1.0303,0.942679,0.943009,87776.66,91006.28
0.75,8,200,1,0.133709,0.129582,1.0318,1.0254,0.961920,0.961676,52202.92,53865.51
0.75,8,400,1,0.226768,0.218515,1.0378,1.0313,0.974871,0.974928,30780.36,31942.89
0.75,8,800,1,0.405240,0.396393,1.0223,1.0159,0.980415,0.980688,17224.36,17608.79
0.75,8,1600,1,0.801226,0.781549,1.0252,1.0188,0.985244,0.985186,8711.65,8930.98
0.75,8,3200,1,1.585823,1.559526,1.0169,1.0105,0.988553,0.988553,4401.50,4475.72
0.8,1,10,0,0.015777,0.016242,0.9714,0.9653,0.678567,0.678553,442416.18,429750.03
0.8,1,20,0,0.024385,0.025017,0.9747,0.9687,0.758066,0.759670,286241.54,279010.27
0.8,1,50,0,0.047014,0.047483,0.9901,0.9839,0.824198,0.824384,148466.41,146999.98
0.8,1,100,0,0.080799,0.079528,1.0160,1.0096,0.852178,0.852163,86387.21,87767.83
0.8,1,200,0,0.137108,0.131529,1.0424,1.0359,0.868897,0.868510,50908.77,53068.14
0.8,1,400,0,0.224588,0.220170,1.0201,1.0137,0.878754,0.878309,31079.13,31702.78
0.8,1,800,0,0.410804,0.402701,1.0201,1.0138,0.883066,0.882980,16991.07,17332.96
0.8,1,1600,0,0.829854,0.808017,1.0270,1.0206,0.887206,0.887163,8411.12,8638.43
0.8,1,3200,0,1.664029,1.621767,1.0261,1.0197,0.889656,0.889799,4194.64,4303.95
0.8,2,10,1,0.026040,0.026147,0.9959,0.9897,0.823123,0.823825,268049.16,266952.23
0.8,2,20,1,0.025394,0.025587,0.9925,0.9863,0.823123,0.823825,274868.08,272794.78
0.8,2,50,1,0.047968,0.048249,0.9942,0.9880,0.903152,0.901619,145513.68,144666.21
0.8,2,100,1,0.081662,0.080979,1.0084,1.0021,0.933868,0.934456,85474.27,86195.19
0.8,2,200,1,0.137805,0.137645,1.0012,0.9949,0.953367,0.953524,50651.28,50710.16
0.8,2,400,1,0.230085,0.228839,1.0054,0.9992,0.964499,0.964871,30336.61,30501.79
0.8,2,800,1,0.421078,0.412068,1.0219,1.0155,0.970358,0.970559,16576.50,16938.95
0.8,2,1600,1,0.840960,0.823765,1.0209,1.0145,0.975544,0.975444,8300.04,8473.29
0.8,2,3200,1,1.678467,1.639135,1.0240,1.0176,0.979026,0.978997,4158.56,4258.34
0.8,3,10,1,0.034609,0.034715,0.9969,0.9907,0.870774,0.869456,201681.64,201065.82
0.8,3,20,1,0.034238,0.034122,1.0034,0.9971,0.870774,0.869456,203867.05,204560.11
0.8,3,50,1,0.048373,0.048668,0.9939,0.9877,0.909756,0.908109,144295.37,143420.73
0.8,3,100,1,0.081025,0.082108,0.9868,0.9807,0.942106,0.941734,86146.25,85009.99
0.8,3,200,1,0.136004,0.138251,0.9837,0.9776,0.960444,0.961232,51322.02,50487.88
0.8,3,400,1,0.225303,0.228650,0.9854,0.9792,0.972063,0.972221,30980.50,30527.01
0.8,3,800,1,0.410779,0.414965,0.9899,0.9837,0.978138,0.977937,16992.11,16820.70
0.8,3,1600,1,0.825888,0.822015,1.0047,0.9984,0.983209,0.983138,8451.51,8491.33
0.8,3,3200,1,1.652271,1.638919,1.0081,1.0019,0.986734,0.986590,4224.49,4258.90
0.8,4,10,1,0.043007,0.042089,1.0218,1.0154,0.894026,0.893166,162299.16,165839.06
0.8,4,20,1,0.042812,0.041650,1.0279,1.0215,0.894026,0.893166,163038.40,167587.03
0.8,4,50,1,0.049573,0.048915,1.0135,1.0071,0.909570,0.908997,140802.45,142696.51
0.8,4,100,1,0.082633,0.082126,1.0062,0.9999,0.942994,0.942436,84469.88,84991.35
0.8,4,200,1,0.140882,0.138325,1.0185,1.0121,0.961519,0.962350,49545.01,50460.87
0.8,4,400,1,0.231867,0.225105,1.0300,1.0236,0.973052,0.973567,30103.46,31007.75
0.8,4,800,1,0.419205,0.410275,1.0218,1.0154,0.979599,0.979140,16650.56,17012.98
0.8,4,1600,1,0.840644,0.819672,1.0256,1.0192,0.984642,0.984900,8303.16,8515.60
0.8,4,3200,1,1.682410,1.628084,1.0334,1.0269,0.988195,0.988266,4148.81,4287.25
0.8,5,10,1,0.050341,0.049342,1.0202,1.0139,0.911203,0.909943,138654.38,141461.64
0.8,5,20,1,0.050362,0.049348,1.0205,1.0142,0.911203,0.909943,138596.56,141444.44
0.8,5,50,1,0.050234,0.049294,1.0191,1.0127,0.911203,0.909943,138949.72,141599.38
0.8,5,100,1,0.082074,0.082118,0.9995,0.9932,0.942908,0.943095,85045.20,84999.63
0.8,5,200,1,0.137294,0.134792,1.0186,1.0122,0.962722,0.962221,50839.80,51783.49
0.8,5,400,1,0.228789,0.223982,1.0215,1.0151,0.974341,0.973653,30508.46,31163.22
0.8,5,800,1,0.414650,0.410875,1.0092,1.0029,0.980358,0.980129,16833.47,16988.14
0.8,5,1600,1,0.829209,0.817493,1.0143,1.0080,0.985387,0.985358,8417.66,8538.30
0.8,5,3200,1,1.663500,1.637769,1.0157,1.0094,0.988940,0.988983,4195.97,4261.90
0.8,6,10,1,0.057510,0.056187,1.0235,1.0172,0.920315,0.919384,121370.20,124228.02
0.8,6,20,1,0.057492,0.056343,1.0204,1.0140,0.920315,0.919384,121408.20,123884.07
0.8,6,50,1,0.057846,0.055893,1.0349,1.0285,0.920315,0.919384,120665.21,124881.47
0.8,6,100,1,0.083574,0.082087,1.0181,1.0118,0.944011,0.942808,83518.80,85031.73
0.8,6,200,1,0.138592,0.136621,1.0144,1.0081,0.963324,0.963052,50363.66,51090.24
0.8,6,400,1,0.232786,0.226072,1.0297,1.0233,0.974971,0.974656,29984.62,30875.12
0.8,6,800,1,0.420694,0.412989,1.0187,1.0123,0.980688,0.980487,16591.63,16901.18
0.8,6,1600,1,0.842259,0.823639,1.0226,1.0162,0.985974,0.985802,8287.24,8474.59
0.8,6,3200,1,1.671536,1.646404,1.0153,1.0089,0.989384,0.989241,4175.80,4239.54
0.8,8,10,1,0.071658,0.070196,1.0208,1.0145,0.934327,0.933825,97407.13,99435.87
0.8,8,20,1,0.071848,0.070184,1.0237,1.0173,0.934327,0.933825,97149.54,99452.87
0.8,8,50,1,0.071909,0.069929,1.0283,1.0219,0.934327,0.933825,97067.13,99815.53
0.8,8,100,1,0.084217,0.082639,1.0191,1.0127,0.944628,0.943410,82881.13,84463.75
0.8,8,200,1,0.140404,0.136045,1.0320,1.0256,0.963567,0.963754,49713.68,51306.55
0.8,8,400,1,0.234381,0.223626,1.0481,1.0416,0.975201,0.974570,29780.57,31212.83
0.8,8,800,1,0.423676,0.409653,1.0342,1.0278,0.980888,0.980645,16474.85,17038.81
0.8,8,1600,1,0.838356,0.811094,1.0336,1.0272,0.986032,0.985903,8325.82,8605.66
0.8,8,3200,1,1.680006,1.622466,1.0355,1.0290,0.989441,0.989441,4154.75,4302.09
0.85,1,10,0,0.016960,0.017486,0.9699,0.9639,0.690401,0.693295,411556.60,399176.48
0.85,1,20,0,0.026397,0.026811,0.9846,0.9784,0.782049,0.780401,264423.99,260340.90
0.85,1,50,0,0.050387,0.051132,0.9854,0.9793,0.846304,0.845272,138527.79,136509.43
0.85,1,100,0,0.086816,0.086630,1.0021,0.9959,0.878023,0.877278,80399.93,80572.55
0.85,1,200,0,0.143089,0.141858,1.0087,1.0024,0.892665,0.893080,48780.83,49204.13
0.85,1,400,0,0.230055,0.228546,1.0066,1.0003,0.903123,0.903381,30340.57,30540.90
0.85,1,800,0,0.430389,0.425191,1.0122,1.0059,0.908711,0.908911,16217.89,16416.15
0.85,1,1600,0,0.881091,0.865103,1.0185,1.0121,0.913467,0.913410,7922.00,8068.40
0.85,1,3200,0,1.761178,1.727395,1.0196,1.0132,0.916375,0.916476,3963.26,4040.77
0.85,2,10,1,0.027895,0.027700,1.0070,1.0008,0.832163,0.830530,250224.05,251985.56
0.85,2,20,1,0.027481,0.026995,1.0180,1.0117,0.832163,0.830530,253993.67,258566.40
0.85,2,50,1,0.051541,0.051722,0.9965,0.9903,0.906734,0.907292,135426.17,134952.24
0.85,2,100,1,0.086542,0.085951,1.0069,1.0006,0.942249,0.942851,80654.48,81209.06
0.85,2,200,1,0.142648,0.138935,1.0267,1.0203,0.959069,0.959054,48931.64,50239.32
0.85,2,400,1,0.234014,0.224852,1.0407,1.0343,0.970931,0.970401,29827.28,31042.64
0.85,2,800,1,0.435016,0.418097,1.0405,1.0340,0.976920,0.976805,16045.39,16694.69
0.85,2,1600,1,0.876570,0.856084,1.0239,1.0175,0.982063,0.982206,7962.86,8153.41
0.85,2,3200,1,1.768686,1.723938,1.0260,1.0196,0.985673,0.985731,3946.43,4048.87
0.85,3,10,1,0.037685,0.036735,1.0259,1.0195,0.875315,0.874656,185219.58,190009.53
0.85,3,20,1,0.037105,0.036110,1.0276,1.0211,0.875315,0.874656,188114.81,193298.26
0.85,3,50,1,0.052415,0.051522,1.0173,1.0110,0.909198,0.909312,133167.99,135476.11
0.85,3,100,1,0.088091,0.086790,1.0150,1.0087,0.945530,0.945874,79236.24,80424.01
0.85,3,200,1,0.141447,0.136886,1.0333,1.0269,0.962350,0.962063,49347.11,50991.34
0.85,3,400,1,0.229533,0.226865,1.0118,1.0054,0.973883,0.973338,30409.57,30767.20
